"site","round","rep","species","start_date","NOTES","date","n_germ"
"MA","1","3","DC",2020-01-23,NA,2020-01-27,"2"
"MA","1","3","DC",2020-01-23,NA,2020-01-28,"0"
"MA","1","3","DC",2020-01-23,NA,2020-01-29,"0"
"MA","1","3","DC",2020-01-23,NA,2020-01-30,"5"
"MA","1","3","DC",2020-01-23,NA,2020-01-31,"3"
"MA","1","3","DC",2020-01-23,NA,2020-02-01,"NA"
"MA","1","3","DC",2020-01-23,NA,2020-02-02,"NA"
"MA","1","3","DC",2020-01-23,NA,2020-02-03,"2"
"MA","1","3","DC",2020-01-23,NA,2020-02-04,"1"
"MA","1","3","DC",2020-01-23,NA,2020-02-05,"2"
"MA","1","3","DC",2020-01-23,NA,2020-02-06,"4"
"MA","1","3","DC",2020-01-23,NA,2020-02-07,"7"
"MA","1","4","DC",2020-01-23,NA,2020-01-21,NA
"MA","1","4","DC",2020-01-23,NA,2020-01-22,NA
"MA","1","4","DC",2020-01-23,NA,2020-01-23,"1"
"MA","1","4","DC",2020-01-23,NA,2020-01-24,"0"
"MA","1","4","DC",2020-01-23,NA,2020-01-25,"5"
"MA","1","4","DC",2020-01-23,NA,2020-01-26,"3"
"MA","1","4","DC",2020-01-23,NA,2020-01-27,"1"
"MA","1","4","DC",2020-01-23,NA,2020-01-28,"0"
"MA","1","4","DC",2020-01-23,NA,2020-01-29,"0"
"MA","1","4","DC",2020-01-23,NA,2020-01-30,"3"
"MA","1","4","DC",2020-01-23,NA,2020-01-31,"0"
"MA","1","4","DC",2020-01-23,NA,2020-02-01,"NA"
"MA","1","4","DC",2020-01-23,NA,2020-02-02,"NA"
"MA","1","4","DC",2020-01-23,NA,2020-02-03,"3"
"MA","1","4","DC",2020-01-23,NA,2020-02-04,"0"
"MA","1","4","DC",2020-01-23,NA,2020-02-05,"1"
"MA","1","4","DC",2020-01-23,NA,2020-02-06,"0"
"MA","1","4","DC",2020-01-23,NA,2020-02-07,"1"
"MA","1","5","DC",2020-01-23,NA,2020-01-21,NA
"MA","1","5","DC",2020-01-23,NA,2020-01-22,NA
"MA","1","5","DC",2020-01-23,NA,2020-01-23,"0"
"MA","1","5","DC",2020-01-23,NA,2020-01-24,"0"
"MA","1","5","DC",2020-01-23,NA,2020-01-25,"0"
"MA","1","5","DC",2020-01-23,NA,2020-01-26,"9"
"MA","1","5","DC",2020-01-23,NA,2020-01-27,"8"
"MA","1","5","DC",2020-01-23,NA,2020-01-28,"0"
"MA","1","5","DC",2020-01-23,NA,2020-01-29,"1"
"MA","1","5","DC",2020-01-23,NA,2020-01-30,"0"
"MA","1","5","DC",2020-01-23,NA,2020-01-31,"10"
"MA","1","5","DC",2020-01-23,NA,2020-02-01,"NA"
"MA","1","5","DC",2020-01-23,NA,2020-02-02,"NA"
"MA","1","5","DC",2020-01-23,NA,2020-02-03,"1"
"MA","1","5","DC",2020-01-23,NA,2020-02-04,"0"
"MA","1","5","DC",2020-01-23,NA,2020-02-05,"2"
"MA","1","5","DC",2020-01-23,NA,2020-02-06,"4"
"MA","1","5","DC",2020-01-23,NA,2020-02-07,"2"
"MA","1","6","DC",2020-01-23,NA,2020-01-21,NA
"MA","1","6","DC",2020-01-23,NA,2020-01-22,NA
"MA","1","6","DC",2020-01-23,NA,2020-01-23,"0"
"MA","1","6","DC",2020-01-23,NA,2020-01-24,"0"
"MA","1","6","DC",2020-01-23,NA,2020-01-25,"5"
"MA","1","6","DC",2020-01-23,NA,2020-01-26,"8"
"MA","1","6","DC",2020-01-23,NA,2020-01-27,"3"
"MA","1","6","DC",2020-01-23,NA,2020-01-28,"0"
"MA","1","6","DC",2020-01-23,NA,2020-01-29,"2"
"MA","1","6","DC",2020-01-23,NA,2020-01-30,"6"
"MA","1","6","DC",2020-01-23,NA,2020-01-31,"6"
